Date,Open,High,Low,Close,Adj Close,Volume
2020-10-22,90.599998,95.500000,88.809998,93.589996,93.589996,2571800
2020-10-23,92.839996,93.199997,86.449997,93.129997,93.129997,3107000
2020-10-26,91.029999,94.230003,86.529999,87.379997,87.379997,2767700
2020-10-27,87.440002,93.699997,87.080002,89.589996,89.589996,2900800
2020-10-28,87.529999,88.000000,81.070000,81.330002,81.330002,3414800
2020-10-29,82.940002,89.300003,80.500000,87.629997,87.629997,2815900
2020-10-30,86.230003,86.989998,78.500000,80.709999,80.709999,3007300
2020-11-02,82.269997,85.589996,80.760002,82.400002,82.400002,1855200
2020-11-03,82.250000,84.480003,80.680000,83.639999,83.639999,1818000
2020-11-04,84.099998,88.669998,84.099998,87.269997,87.269997,2272300
2020-11-05,89.199997,93.389999,87.699997,93.110001,93.110001,2233100
2020-11-06,92.400002,92.860001,88.250000,89.860001,89.860001,1893100
2020-11-09,94.529999,101.199997,89.800003,90.309998,90.309998,6586500
2020-11-10,85.300003,85.809998,76.589996,78.739998,78.739998,6854400
2020-11-11,80.099998,88.199997,80.010002,85.010002,85.010002,3986000
2020-11-12,85.769997,95.370003,85.290001,90.870003,90.870003,4953400
2020-11-13,93.190002,98.239998,91.400002,96.599998,96.599998,3731700
2020-11-16,95.699997,96.000000,84.599998,90.650002,90.650002,6852900
2020-11-17,89.949997,94.400002,88.059998,92.889999,92.889999,2920100
2020-11-18,92.300003,93.480003,87.260002,89.910004,89.910004,2525200
2020-11-19,89.000000,90.750000,85.669998,86.400002,86.400002,3249900
2020-11-20,86.610001,88.830002,85.620003,86.550003,86.550003,2557300
2020-11-23,88.989998,98.449997,88.000000,93.980003,93.980003,6548300
2020-11-24,95.260002,97.480003,90.760002,95.330002,95.330002,3099200
2020-11-25,95.320000,103.879997,94.669998,102.599998,102.599998,3794700
2020-11-27,108.099998,132.000000,107.000000,125.690002,125.690002,11777400
2020-11-30,119.260002,147.500000,118.500000,139.500000,139.500000,16386900
2020-12-01,150.000000,150.500000,120.000000,123.470001,123.470001,12337000
2020-12-02,121.010002,127.870003,115.510002,125.480003,125.480003,3969300
2020-12-03,124.980003,132.000000,124.620003,129.160004,129.160004,3234300
2020-12-04,129.369995,130.490005,125.040001,126.250000,126.250000,2181800
2020-12-07,126.900002,130.649994,122.750000,123.120003,123.120003,3270700
2020-12-08,124.599998,125.910004,117.260002,120.120003,120.120003,3744200
2020-12-09,123.620003,123.750000,106.110001,115.220001,115.220001,5561800
2020-12-10,110.330002,117.000000,110.110001,115.089996,115.089996,2473300
2020-12-11,118.750000,129.750000,118.750000,124.879997,124.879997,6060800
2020-12-14,130.110001,135.470001,127.419998,129.699997,129.699997,4690300
2020-12-15,130.830002,130.899994,120.459999,126.220001,126.220001,2721700
2020-12-16,121.720001,122.459999,113.610001,120.879997,120.879997,4096600
2020-12-17,124.480003,132.660004,123.680000,131.750000,131.750000,5070800
2020-12-18,130.970001,130.990005,122.830002,124.849998,124.849998,4237400
2020-12-21,125.470001,130.679993,123.019997,124.059998,124.059998,2763300
2020-12-22,123.919998,124.339996,109.000000,115.370003,115.370003,6363600
2020-12-23,111.879997,130.000000,107.080002,127.650002,127.650002,6681400
2020-12-24,127.519997,132.229996,122.059998,129.339996,129.339996,3690600
2020-12-28,129.250000,130.000000,116.519997,116.849998,116.849998,4840500
2020-12-29,117.510002,121.870003,113.690002,120.269997,120.269997,2919500
2020-12-30,122.000000,125.500000,116.709999,118.959999,118.959999,2796200
2020-12-31,118.949997,119.300003,110.900002,111.510002,111.510002,3587300
2021-01-04,112.699997,114.769997,109.010002,112.980003,112.980003,2570500
2021-01-05,112.010002,119.379997,109.720001,116.239998,116.239998,2525000
2021-01-06,115.510002,124.250000,114.370003,123.739998,123.739998,3196300
2021-01-07,124.800003,129.949997,124.029999,128.179993,128.179993,2916900
2021-01-08,129.940002,137.580002,120.660004,121.860001,121.860001,5389500
2021-01-11,118.430000,122.110001,113.510002,116.480003,116.480003,4174200
2021-01-12,117.169998,124.790001,115.610001,124.139999,124.139999,2905200
2021-01-13,124.150002,133.000000,123.900002,126.209999,126.209999,3491500
2021-01-14,127.089996,131.360001,124.000000,129.979996,129.979996,2502400
2021-01-15,129.690002,135.710007,126.919998,127.430000,127.430000,3312100
2021-01-19,128.889999,136.880005,126.879997,128.000000,128.000000,3920300
2021-01-20,129.750000,132.529999,121.260002,125.050003,125.050003,3159900
2021-01-21,125.500000,129.800003,122.120003,122.400002,122.400002,2463100
2021-01-22,123.150002,127.209999,121.430000,126.980003,126.980003,2598600
2021-01-25,126.500000,131.500000,125.139999,131.460007,131.460007,3010900
2021-01-26,131.610001,132.470001,126.680000,127.160004,127.160004,2253000
2021-01-27,124.000000,136.339996,121.739998,131.179993,131.179993,3990100
2021-01-28,131.000000,140.419998,129.570007,134.009995,134.009995,9146600
2021-01-29,191.050003,235.500000,172.000000,220.940002,220.940002,36661400
2021-02-01,242.520004,276.000000,238.500000,268.299988,268.299988,13962300
2021-02-02,269.480011,271.790009,246.559998,264.410004,264.410004,8088000
2021-02-03,255.899994,297.000000,249.360001,284.209991,284.209991,7607500
2021-02-04,283.049988,290.480011,276.250000,280.920013,280.920013,5496400
2021-02-05,283.619995,300.000000,280.450012,290.179993,290.179993,4397900
2021-02-08,295.160004,329.989990,292.750000,319.929993,319.929993,6974800
2021-02-09,324.500000,331.679993,312.000000,315.869995,315.869995,4122700
2021-02-10,315.179993,323.549988,283.000000,298.359985,298.359985,3646500
2021-02-11,304.700012,305.980011,292.000000,298.260010,298.260010,1816500
2021-02-12,295.000000,304.100006,286.200012,289.760010,289.760010,2327100
2021-02-16,290.500000,297.000000,260.000000,262.700012,262.700012,4452100
2021-02-17,249.199997,274.970001,247.000000,273.980011,273.980011,2764400
2021-02-18,271.989990,281.000000,262.600006,265.290009,265.290009,2110000
2021-02-19,284.000000,292.000000,275.609985,277.880005,277.880005,3452300
